,Game ID,Visiting Team Score,Home Team Score,Visiting Team Player 1 ID,Visiting Team Player 2 ID,Visiting Team Player 3 ID,Visiting Team Player 4 ID,Visiting Team Player 5 ID,Visiting Team Player 6 ID,Visiting Team Player 7 ID,Visiting Team Player 8 ID,Visiting Team Player 9 ID,Home Team Player 1 ID,Home Team Player 2 ID,Home Team Player 3 ID,Home Team Player 4 ID,Home Team Player 5 ID,Home Team Player 6 ID,Home Team Player 7 ID,Home Team Player 8 ID,Home Team Player 9 ID
69,OAK201404050,3,1,almoa001,millb002,canor001,smoaj001,hartc001,seagk001,morrl001,ackld001,zunim001,crisc001,donaj001,lowrj001,mossb001,cespy001,jasoj001,reddj001,bartd001,sogae001
70,TBA201404050,4,5,choos001,andre001,fielp001,belta001,riosa002,choim001,chirr001,martl004,wilsj003,dejed001,myerw001,zobrb001,longe001,lonej001,jennd002,joycm001,molij001,escoy001
71,TOR201404050,0,4,ellsj001,jeted001,beltc001,mccab002,soria001,johnk003,cervf001,solay001,annad001,cabrm002,rasmc001,bautj002,encae001,linda001,lawrb002,tholj001,goinr001,diazj004
72,CHN201404050,2,0,reveb001,rollj001,utlec001,howar001,byrdm001,browd004,nievw001,aschc001,lee-c003,bonie001,casts001,ruggj001,rizza001,lakej001,olt-m001,castw002,barnd001,samaj001
73,COL201404050,4,9,polla001,hilla001,goldp001,pradm001,trumm001,montm001,owinc001,parrg001,mccab001,blacc001,lemad001,gonzc001,cuddm001,mornj001,arenn001,pachj001,culbc001,delaj001
74,LAN201404050,7,2,pagaa001,pench001,sandp001,poseb001,morsm001,beltb001,hickb002,crawb001,bumgm001,puigy001,turnj001,ramih003,gonza003,kempm001,vanss001,uribj002,ellia001,mahop002
75,MIA201404050,0,5,cabre001,venaw001,headc001,smits002,alony001,gyorj001,amara001,river003,casha001,hecha001,yelic001,stanm004,joneg002,mcgec001,saltj001,dietd001,ozunm001,fernj003
76,NYN201404050,3,6,bernr001,philb001,vottj001,brucj001,ludwr001,frazt001,cozaz001,barnt001,cuetj001,youne003,murpd006,wrigd002,granc001,dudal001,lagaj001,recka001,tejar001,gee-d001
77,PIT201404050,6,1,carpm002,peraj001,hollm001,craia001,moliy001,adamm002,bourp001,wongk001,kellj001,marts002,snidt001,mccua001,alvap001,martr004,walkn001,ishit001,mercj002,lirif001
78,WAS201404050,6,2,heywj001,uptob001,freef001,johnc003,uptoj001,uggld001,doumr001,simma001,tehej001,spand001,harpb003,wertj001,laroa001,zimmr001,desmi001,renda001,lobaj001,stras001
79,BOS201404060,4,0,gomec002,weekr001,braur002,ramia001,lucrj001,davik003,reynm001,overl001,bianj001,navad002,pedrd001,ortid001,napom001,bogax001,gomej001,herrj002,bradj001,rossd001
80,CLE201404060,10,7,dozib001,mauej001,willj004,colac001,plout001,kubej002,suzuk001,hicka001,florp001,morgn001,swisn001,kipnj001,santc002,branm003,chisl001,gomey001,murpd005,avilm001
81,DET201404060,3,1,lougd001,markn001,jonea003,davic003,cruzn002,wietm001,lombs002,flahr001,schoj001,kinsi001,huntt001,cabrm001,martv001,jacka001,collt002,castn001,holab001,romia001
82,HOU201404060,4,7,calhk001,troum001,pujoa001,hamij003,freed001,ibanr001,kendh001,congh001,aybae001,villj001,grosr001,castj006,altuj001,guzmj005,kraum001,domim001,presa001,hoesl001
83,KCA201404060,5,1,eatoa002,semim001,abrej003,dunna001,vicid001,gillc001,garca003,ramia003,flowt001,infao001,valed001,hosme001,butlb003,gorda001,peres002,maxwj002,cainl001,escoa003
84,OAK201404060,3,6,almoa001,millb002,canor001,smoaj001,morrl001,seagk001,ackld001,saunm001,zunim001,crisc001,donaj001,lowrj001,mossb001,cespy001,jasoj001,fulds001,bartd001,sogae001
85,TBA201404060,3,0,choos001,andre001,fielp001,belta001,riosa002,morem001,murpd004,martl004,arenj001,dejed001,myerw001,zobrb001,longe001,lonej001,jennd002,joycm001,hanir001,escoy001
86,TOR201404060,6,4,gardb001,jeted001,ellsj001,mccab002,soria001,johnk003,robeb003,suzui001,solay001,cabrm002,iztum001,bautj002,encae001,navad001,krate001,lawrb002,sierm001,diazj004
87,CHN201404060,3,8,reveb001,rollj001,utlec001,howar001,byrdm001,browd004,ruizc001,aschc001,burna001,bonie001,kalir001,rizza001,schin001,valbl001,casts001,sweer001,bakej002,villc001
88,COL201404060,5,3,polla001,hilla001,goldp001,pradm001,trumm001,montm001,owinc001,parrg001,milew001,blacc001,cuddm001,gonzc001,tulot001,rosaw001,arenn001,stubd001,lemad001,andeb004
89,LAN201404060,2,6,pagaa001,beltb001,sandp001,poseb001,pench001,morsm001,crawb001,adrie001,cainm001,gordd002,crawc002,ramih003,gonza003,ethia001,kempm001,uribj002,buted001,greiz001
90,MIA201404060,4,2,cabre001,smits002,headc001,gyorj001,alony001,venaw001,medit001,grany001,kenni001,hecha001,yelic001,stanm004,joneg002,mcgec001,saltj001,dietd001,ozunm001,eovan001
91,NYN201404060,2,1,heisc001,philb001,vottj001,ludwr001,brucj001,frazt001,cozaz001,penab002,simoa001,youne003,murpd006,wrigd002,granc001,davii001,lagaj001,darnt001,tejar001,niesj001
92,PIT201404060,1,2,carpm002,jay-j001,hollm001,adamm002,moliy001,craia001,peraj001,descd001,waina001,marts002,tabaj002,mccua001,alvap001,walkn001,sancg001,sanct001,barmc001,volqe001
93,WAS201404060,1,2,heywj001,uptob001,freef001,johnc003,uptoj001,uggld001,lairg001,simma001,wooda002,renda001,frank001,wertj001,laroa001,desmi001,espid001,mclon001,leons001,jordt001
94,BOS201404070,1,5,choos001,andre001,fielp001,belta001,riosa002,morem001,murpd004,martl004,arenj001,navad002,pedrd001,ortid001,napom001,sizeg001,bogax001,piera001,herrj002,bradj001
95,HOU201404070,9,1,calhk001,troum001,pujoa001,hamij003,ibanr001,kendh001,stewi001,iannc001,aybae001,villj001,grosr001,altuj001,castj006,guzmj005,cartc002,domim001,corpc001,hoesl001
96,KCA201404070,2,4,jennd002,myerw001,zobrb001,longe001,forsl001,lonej001,rodrs002,hanir001,escoy001,aokin001,infao001,hosme001,butlb003,gorda001,peres002,mousm001,cainl001,escoa003
97,MIN201404070,8,3,fulds001,lowrj001,donaj001,mossb001,cespy001,calla001,reddj001,norrd001,sogae001,dozib001,mauej001,plout001,colac001,pintj001,kubej002,suzuk001,hicka001,florp001
98,NYA201404070,2,4,lougd001,markn001,jonea003,davic003,wietm001,cruzn002,lombs002,flahr001,schoj001,gardb001,jeted001,ellsj001,beltc001,mccab002,soria001,robeb003,johnk003,solay001
99,COL201404070,1,8,eatoa002,semim001,abrej003,gillc001,garca003,deaza001,ramia003,flowt001,paulf001,blacc001,cuddm001,gonzc001,tulot001,mornj001,rosaw001,arenn001,lemad001,lylej001
100,SLN201404070,3,5,hamib001,philb001,vottj001,brucj001,ludwr001,frazt001,cozaz001,penab002,cingt001,carpm002,bourp001,hollm001,craia001,moliy001,adamm002,peraj001,wongk001,wachm001
101,BOS201404080,10,7,choos001,andre001,fielp001,belta001,riosa002,murpd004,choim001,chirr001,wilsj003,gomej001,pedrd001,ortid001,napom001,sizeg001,bogax001,piera001,rober002,bradj001
102,CLE201404080,6,8,cabre001,smits002,headc001,alony001,grany001,venaw001,gyorj001,medit001,amara001,morgn001,swisn001,kipnj001,santc002,branm003,cabra002,chisl001,gomey001,murpd005
103,KCA201404080,1,0,dejed001,myerw001,zobrb001,longe001,lonej001,jennd002,joycm001,molij001,escoy001,aokin001,hosme001,peres002,butlb003,gorda001,valed001,mousm001,escoa003,dysoj001
104,NYA201404080,14,5,markn001,yound003,davic003,jonea003,wietm001,cruzn002,lombs002,flahr001,schoj001,gardb001,jeted001,ellsj001,beltc001,soria001,mccab002,cervf001,robeb003,solay001
105,SEA201404080,3,5,calhk001,troum001,pujoa001,freed001,hamij003,kendh001,ibanr001,iannc001,aybae001,almoa001,millb002,canor001,smoaj001,hartc001,seagk001,romes001,ackld001,zunim001
106,TOR201404080,2,5,grosr001,altuj001,guzmj005,castj006,cartc002,hoesl001,domim001,presa001,villj001,cabrm002,linda001,bautj002,encae001,navad001,lawrb002,rasmc001,iztum001,diazj004
107,ATL201404080,4,0,youne003,murpd006,wrigd002,granc001,dudal001,lagaj001,darnt001,tejar001,colob001,heywj001,uptob001,freef001,johnc003,uptoj001,uggld001,gatte001,simma001,haraa001
108,CHN201404080,7,6,marts002,snidt001,mccua001,alvap001,martr004,walkn001,ishit001,mercj002,mortc002,bonie001,kalir001,rizza001,schin001,valbl001,casts001,sweer001,castw002,jacke001
109,COL201404080,15,3,eatoa002,semim001,abrej003,vicid001,gillc001,garca003,ramia003,flowt001,quinj001,stubd001,barnb002,tulot001,cuddm001,rosaw001,arenn001,mornj001,culbc001,moraf001
110,LAN201404080,2,3,davir003,kinsi001,huntt001,cabrm001,martv001,jacka001,avila001,romia001,schem001,gordd002,crawc002,ramih003,gonza003,ethia001,kempm001,uribj002,fedet001,hared001
111,PHI201404080,10,4,gomec002,seguj002,braur002,ramia001,lucrj001,davik003,reynm001,genns001,lohsk001,reveb001,rollj001,ruizc001,howar001,byrdm001,browd004,hernc005,aschc001,kendk001
112,SFN201404080,3,7,parrg001,hilla001,goldp001,pradm001,montm001,trumm001,owinc001,polla001,cahit001,pagaa001,beltb001,sandp001,poseb001,pench001,morsm001,crawb001,hickb002,hudst001
113,SLN201404080,5,7,hamib001,philb001,vottj001,brucj001,ludwr001,frazt001,cozaz001,mesod001,bailh001,carpm002,wongk001,hollm001,craia001,moliy001,adamm002,peraj001,bourp001,lynnl001
114,WAS201404080,0,5,hecha001,bakej001,stanm004,mcgec001,joneg002,saltj001,ozunm001,johnr008,alvah001,spand001,harpb003,wertj001,laroa001,desmi001,renda001,espid001,lobaj001,gonzg003
115,BOS201404090,2,4,choos001,andre001,fielp001,riosa002,morem001,murpd004,martl004,chirr001,wilsj003,gomej001,pedrd001,ortid001,napom001,bogax001,navad002,rober002,rossd001,bradj001
116,CLE201404091,0,2,cabre001,smits002,alony001,grany001,gyorj001,venaw001,nadyx001,hundn001,amara001,cabra002,swisn001,kipnj001,santc002,rabur001,branm003,gomey001,avilm001,murpd005
117,CLE201404092,2,1,cabre001,denoc001,smits002,alony001,headc001,gyorj001,medit001,amara001,river003,johne002,swisn001,kipnj001,santc002,rabur001,branm003,gomey001,cabra002,avilm001
118,KCA201404090,3,7,dejed001,zobrb001,joycm001,longe001,lonej001,jennd002,myerw001,hanir001,escoy001,aokin001,giavj001,hosme001,butlb003,gorda001,peres002,mousm001,cainl001,escoa003
