,Game ID,Visiting Team Score,Home Team Score,Visiting Team Player 1 ID,Visiting Team Player 2 ID,Visiting Team Player 3 ID,Visiting Team Player 4 ID,Visiting Team Player 5 ID,Visiting Team Player 6 ID,Visiting Team Player 7 ID,Visiting Team Player 8 ID,Visiting Team Player 9 ID,Visiting Team Starting Pitcher ID,Home Team Player 1 ID,Home Team Player 2 ID,Home Team Player 3 ID,Home Team Player 4 ID,Home Team Player 5 ID,Home Team Player 6 ID,Home Team Player 7 ID,Home Team Player 8 ID,Home Team Player 9 ID,Home Team Starting Pitcher ID
52,CIN201804020,0,1,happi001,bryak001,rizza001,contw001,schwk001,russa002,heywj001,baezj001,chatt001,chatt001,winkj002,pennc001,vottj001,genns001,suare001,duvaa001,barnt001,hamib001,mahlt001,mahlt001
53,MIA201804020,7,3,bettm001,benia002,ramih003,dever001,bogax001,nunee002,bradj001,vazqc001,johnb004,johnb004,brinl001,dietd001,casts001,andeb006,bourj002,maybc001,rojam002,holab001,richt001,richt001
54,MIL201804020,8,4,fowld001,phamt001,carpm002,ozunm001,martj008,moliy001,dejop001,gyorj001,mikom001,mikom001,cainl001,yelic001,braur002,shawt001,thame001,pinam001,villj001,arcio002,daviz001,daviz001
55,PIT201804020,4,5,dozib001,mauej001,sanom001,rosae001,escoe001,keplm001,buxtb001,castj006,lynnl001,lynnl001,harrj002,polag001,marts002,bellj005,dickc002,cervf001,morac001,mercj002,tailj001,tailj001
56,SDN201804020,7,4,blacc001,lemad001,arenn001,gonzc001,desmi001,parrg001,stort001,iannc001,bettc001,bettc001,margm001,myerw001,hosme001,pirej001,asuac001,headc001,galvf001,ellia001,mitcb001,mitcb001
57,ANA201804020,6,0,lindf001,kipnj001,ramij003,alony001,encae001,chisl001,gomey001,naqut001,zimmb001,clevm001,cozaz001,troum001,uptoj001,pujoa001,calhk001,simma001,valbl001,martj007,maldm001,ramij002
58,DET201804020,1,6,jay-j001,merrw001,mousm001,dudal001,orlap001,solej001,gorda001,escoa003,buted001,hammj002,martl004,candj002,cabrm001,castn001,martv001,mccaj001,mahtm001,goodn002,machd001,lirif001
59,HOU201804020,1,6,davic003,machm001,schoj001,jonea003,manct001,rasmc001,beckt001,alvap001,josec002,tillc001,sprig001,brega001,altuj001,corrc001,reddj001,gonzm002,gatte001,mccab002,fishd001,mortc002
60,OAK201804020,1,3,choos001,gallj002,andre001,belta001,mazan001,chirr001,odorr001,rua-r001,robid003,colob001,semim001,lowrj001,olsom001,davik003,joycm001,piscs001,chapm001,lucrj001,poweb002,triga001
61,TOR201804020,2,4,moncy001,garca003,abrej003,davim005,castw002,andet001,garcl004,sancc001,engea001,loper003,travd001,donaj001,smoaj001,solay001,granc001,gricr001,martr004,pillk001,diaza003,garcj004
62,ARI201804030,1,6,taylc001,seagc001,puigy001,bellc002,kempm001,herne001,forsl001,barna001,kersc001,kersc001,perad001,martk001,goldp001,polla001,owinc001,descd001,marrd001,murpj001,godlz001,godlz001
63,ATL201804030,6,13,eatoa002,renda001,harpb003,zimmr001,kendh001,turnt001,goodb001,montm001,colea002,colea002,incie001,albio001,freef001,markn001,tuckp001,swand001,flahr001,stewc001,tehej001,tehej001
64,MIA201804030,4,2,nunee002,benia002,ramih003,martj006,bogax001,dever001,vazqc001,bradj001,salec001,salec001,brinl001,dietd001,casts001,andeb006,bourj002,maybc001,rojam002,wallc001,urenj001,urenj001
65,MIL201804030,4,5,fowld001,phamt001,carpm002,ozunm001,martj008,moliy001,dejop001,wongk001,flahj002,flahj002,cainl001,yelic001,braur002,shawt001,thame001,pinam001,villj001,arcio002,andec001,andec001
66,NYN201804030,0,2,hernc005,santc002,altha001,hoskr001,herro001,kings001,alfaj002,liveb001,crawj002,liveb001,nimmb001,cabra002,cespy001,brucj001,frazt001,gonza003,darnt001,reyej001,harvm001,harvm001
67,SDN201804030,4,8,blacc001,lemad001,arenn001,gonzc001,parrg001,stort001,iannc001,mcmar001,freek001,freek001,margm001,pirej001,hosme001,renfh001,villc002,galvf001,asuac001,ellia001,rosst001,rosst001
68,SFN201804030,6,4,gordd002,seguj002,canor001,hanim001,seagk001,healr001,hereg002,freid001,gonzm005,gonzm005,jacka001,panij002,mccua001,poseb001,longe001,pench001,hundn001,crawb001,blact002,blact002
69,ANA201804030,2,13,lindf001,kipnj001,ramij003,alony001,encae001,chisl001,perer003,naqut001,zimmb001,tomlj001,cozaz001,troum001,uptoj001,pujoa001,calhk001,simma001,valbl001,ohtas001,river003,richg002
70,DET201804030,1,0,jay-j001,merrw001,mousm001,cuthc001,orlap001,solej001,gorda001,escoa003,gallc001,junij001,martl004,candj002,cabrm001,castn001,martv001,mccaj001,mahtm001,iglej001,machd001,boydm001
71,HOU201804030,6,10,davic003,machm001,schoj001,jonea003,manct001,rasmc001,beckt001,siscc001,santa003,wrigm001,sprig001,brega001,altuj001,corrc001,reddj001,gonzm002,gatte001,mccab002,fishd001,verlj001
72,NYA201804030,4,11,duffm002,kierk001,gomec002,cronc002,ramow001,hecha001,sucrj001,robed004,refsr001,archc001,gardb001,judga001,stanm004,gregd001,sancg002,walkn001,drurb001,wadet002,austt001,montj004
73,OAK201804030,4,1,choos001,gallj002,andre001,belta001,mazan001,chirr001,odorr001,rua-r001,robid003,hamec001,semim001,pindc001,lowrj001,davik003,olsom001,chapm001,piscs001,lucrj001,smolj002,gravk001
74,TOR201804030,5,14,moncy001,garca003,abrej003,davim005,castw002,andet001,engea001,salat001,delmn001,gonzm003,granc001,donaj001,smoaj001,solay001,gricr001,morak001,pillk001,maill001,diaza003,happj001
75,ARI201804040,0,3,taylc001,seagc001,puigy001,herne001,grany001,kempm001,forsl001,farmk001,wooda002,wooda002,dysoj001,martk001,goldp001,polla001,owinc001,descd001,marrd001,mathj001,corbp001,corbp001
76,ATL201804040,1,7,eatoa002,renda001,harpb003,adamm002,turnt001,taylm002,difow001,sevep001,schem001,schem001,incie001,albio001,freef001,markn001,tuckp001,culbc001,flahr001,perec003,foltm001,foltm001
77,MIL201804040,6,0,fowld001,phamt001,carpm002,ozunm001,martj008,moliy001,dejop001,wongk001,martc006,martc006,thame001,yelic001,cainl001,shawt001,santd002,villj001,pinam001,sogae001,chacj001,chacj001
78,NYN201804040,2,4,hernc005,santc002,willn001,hoskr001,altha001,franm004,knapa001,crawj002,nolaa001,nolaa001,nimmb001,cespy001,brucj001,frazt001,cabra002,gonza003,plawk001,syndn001,rosaa003,syndn001
79,PIT201804040,7,3,dozib001,rosae001,sanom001,morrl001,escoe001,keplm001,buxtb001,castj006,odorj001,odorj001,harrj002,polag001,marts002,bellj005,dickc002,cervf001,morac001,rodrs002,novai001,novai001
80,SDN201804040,5,2,blacc001,lemad001,arenn001,desmi001,stort001,gonzc001,valap001,woltt001,grayj003,grayj003,pirej001,asuac001,hosme001,villc002,spanc001,galvf001,szczm001,hedga001,richc002,richc002
81,SFN201804040,1,10,gordd002,seguj002,canor001,hanim001,seagk001,voged001,marjm001,suzui001,hernf002,hernf002,panij002,beltb001,mccua001,poseb001,sandp001,crawb001,blang001,herng001,cuetj001,cuetj001
82,ANA201804040,2,3,lindf001,kipnj001,ramij003,encae001,guyeb001,alony001,gomey001,davir003,zimmb001,klubc001,cozaz001,troum001,uptoj001,pujoa001,calhk001,simma001,valbl001,ohtas001,maldm001,skagt001
83,HOU201804040,2,3,beckt001,machm001,schoj001,jonea003,manct001,valed001,santa003,josec002,gentc001,bundd001,sprig001,brega001,altuj001,reddj001,gonzm002,stasm001,marij002,davij006,fishd001,keucd001
84,NYA201804040,2,7,spand001,kierk001,cronc002,millb002,ramow001,wendj002,hecha001,smitm007,robed004,snelb001,gardb001,judga001,stanm004,sancg002,gregd001,drurb001,austt001,romia002,torrr001,sevel001
