,Game ID,Visiting Team Player 1 ID,Visiting Team Player 2 ID,Visiting Team Player 3 ID,Visiting Team Player 4 ID,Visiting Team Player 5 ID,Visiting Team Player 6 ID,Visiting Team Player 7 ID,Visiting Team Player 8 ID,Visiting Team Player 9 ID,Visiting Team Starting Pitcher ID,Home Team Player 1 ID,Home Team Player 2 ID,Home Team Player 3 ID,Home Team Player 4 ID,Home Team Player 5 ID,Home Team Player 6 ID,Home Team Player 7 ID,Home Team Player 8 ID,Home Team Player 9 ID,Home Team Starting Pitcher ID
1426,BAL201607220,santc002,kipnj001,lindf001,napom001,ramij003,naqut001,uribj002,almoa001,gimec001,bauet001,jonea003,schoj001,machm001,davic003,trumm001,alvap001,hardj003,josec002,borbj001,bundd001
1427,BOS201607220,nunee002,grosr001,mauej001,dozib001,sanom001,keplm001,escoe001,centj001,buxtb001,gibsk002,bettm001,pedrd001,bogax001,ortid001,ramih003,bradj001,shawt001,leons001,holtb002,rodre004
1428,CHA201607220,kinsi001,maybc001,cabrm001,martv001,castn001,uptoj001,collt002,saltj001,iglej001,fulmm001,eatoa002,andet001,cabrm002,abrej003,mornj001,frazt001,shucj001,salat001,narvo001,turnj002
1429,HOU201607220,escoy001,calhk001,troum001,pujoa001,navad002,simma001,choij001,bandj001,petig001,shoem001,sprig001,gonzm002,altuj001,corrc001,valbl001,rasmc001,gomec002,tuckp001,castj006,mccul002
1430,KCA201607220,deshd002,profj001,desmi001,belta001,odorr001,rua-r001,andre001,mazan001,wilsb002,darvy001,escoa003,cuthc001,hosme001,morak001,peres002,gorda001,orlap001,merrw001,dysoj001,duffd001
1431,NYA201607220,spand001,pagaa001,beltb001,poseb001,crawb001,gillc001,parkj002,penar002,blang001,bumgm001,gardb001,casts001,beltc001,rodra001,headc001,refsr001,romia002,hicka001,torrr001,tanam001
1432,OAK201607220,forsl001,guyeb001,longe001,pears001,souzs001,dickc002,beckt001,kierk001,maill001,odorj001,crisc001,reddj001,davik003,vogts001,lowrj001,smolj002,alony001,healr001,alcaa001,manas001
1433,TOR201607220,aokin001,smits002,canor001,cruzn002,seagk001,linda001,martl004,zunim001,omals001,paxtj001,barnd001,donaj001,encae001,tulot001,saunm001,pillk001,travd001,lakej001,tholj001,estrm001
1434,CIN201607220,seguj002,bourm001,goldp001,lambj001,castw002,drurb001,tomay001,ahmen001,brada001,brada001,hamib001,cozaz001,vottj001,brucj001,duvaa001,philb001,suare001,barnt001,strad003,strad003
1435,COL201607220,petej002,beckg001,freef001,markn001,garca004,incie001,recka001,aybae001,tehej001,tehej001,blacc001,lemad001,arenn001,gonzc001,stort001,rabur001,reynm001,hundn001,grayj003,grayj003
1436,MIA201607220,reyej001,granc001,cespy001,florw001,walkn001,cabra002,darnt001,lagaj001,verrl001,verrl001,realj001,rojam002,yelic001,stanm004,ozunm001,dietd001,johnc003,hecha001,conla001,conla001
1437,MIL201607220,fowld001,bryak001,rizza001,zobrb001,contw001,heywj001,russa002,montm001,hammj002,hammj002,villj001,genns001,braur002,lucrj001,cartc002,nieuk001,pereh001,florr003,nelsj004,nelsj004
1438,PIT201607220,bourp001,herro001,franm004,joset001,ruppc001,aschc001,galvf001,hernc005,efliz001,efliz001,mercj002,polag001,mccua001,marts002,jasoj001,cervf001,kangj001,harrj002,coleg001,coleg001
1439,SLN201607220,utlec001,seagc001,turnj001,gonza003,kendh001,grany001,pedej001,vanss001,mccab001,mccab001,phamt001,diaza003,piscs001,hollm001,adamm002,moliy001,gyorj001,wongk001,wachm001,wachm001
