Date,Number of game,Team,League,Game Number,Score,At-bats,Hits,Doubles,Triples,Homeruns,RBIs,Sacrifice Hits,Sacrifice Flies,Hit-by-pitch,Walks,Intentional Walks,Strikeouts,Stolen Bases,Caught Stealing,Grounded into DP,Left on Base,Pitchers Used,Individual Earned Runs,Earned Runs,Wild Pitches,Balks,Putouts,Assists,Errors,Passed Balls,Double Plays,Triple Plays
20150621,0,MIN,AL,69,0,31,4,1,0,0,0,0,0,0,0,0,7,1,0,1,4,5,8,8,0,0,27,8,0,0,0,0
20150622,0,MIN,AL,70,13,38,15,3,0,4,13,0,1,0,2,1,4,1,0,0,4,3,2,2,0,0,27,14,0,0,2,0
20150623,0,MIN,AL,71,2,33,9,1,0,1,2,0,0,1,1,0,7,0,1,1,6,4,5,5,0,0,27,17,1,0,0,0
20150624,0,MIN,AL,72,6,33,11,4,0,0,5,0,1,0,1,0,10,0,0,1,5,2,1,1,0,0,27,10,0,0,0,0
20150706,0,MIN,AL,83,4,33,6,0,0,3,4,0,0,0,4,0,6,1,0,1,5,5,2,2,0,0,30,9,0,0,2,0
20150707,0,MIN,AL,84,8,32,11,2,0,1,7,0,1,1,4,1,7,1,0,2,6,4,3,3,0,0,27,8,0,0,1,0
20150708,0,MIN,AL,85,5,33,11,4,0,2,5,0,0,0,6,0,9,2,2,0,10,3,3,3,0,0,27,8,0,0,1,0
20150709,0,MIN,AL,86,2,33,6,0,0,0,2,1,0,0,3,0,8,0,0,0,8,3,4,4,0,0,27,15,0,0,2,0
20150710,0,MIN,AL,87,8,34,10,1,0,1,8,0,0,1,2,0,7,2,0,1,4,4,6,6,0,0,27,7,0,0,1,0
20150711,0,MIN,AL,88,9,37,16,3,1,1,9,0,0,1,2,0,9,1,1,1,7,5,5,5,0,0,27,7,0,0,1,0
20150712,0,MIN,AL,89,7,31,9,1,2,2,7,0,1,0,3,0,6,0,1,0,4,2,0,0,0,0,27,16,1,0,3,0
20150724,0,MIN,AL,96,10,37,14,5,0,4,10,0,1,0,0,0,6,0,0,0,4,3,0,0,0,0,27,8,1,0,0,0
20150725,0,MIN,AL,97,5,34,7,0,0,2,5,0,0,1,4,0,6,0,0,1,7,5,8,8,0,0,27,11,1,0,1,0
20150726,0,MIN,AL,98,2,34,10,1,0,0,2,0,0,0,1,0,5,0,0,2,6,3,7,7,1,0,27,10,0,0,0,0
20150728,0,MIN,AL,99,7,36,12,2,2,0,6,0,0,0,5,0,6,0,0,3,7,6,7,7,0,0,27,6,1,0,0,0
20150729,0,MIN,AL,100,4,38,12,3,1,0,4,0,0,0,2,0,9,0,0,0,9,4,8,8,2,0,27,17,3,0,1,0
20150730,0,MIN,AL,101,9,39,13,1,1,3,9,0,0,0,4,1,6,2,0,0,10,4,5,5,0,0,27,6,1,0,1,0
20150731,0,MIN,AL,102,1,29,1,0,0,1,1,0,0,0,1,0,11,0,0,0,2,3,6,6,0,0,27,9,0,0,0,0
20150801,0,MIN,AL,103,3,31,6,1,1,0,1,0,0,0,4,1,10,1,0,2,6,4,2,2,0,0,27,11,0,0,0,0
20150802,0,MIN,AL,104,1,37,4,2,0,1,1,0,0,0,2,0,11,0,0,0,5,6,4,4,1,0,33,18,0,0,2,0
20150811,0,MIN,AL,112,3,31,6,3,0,0,3,0,0,0,5,0,3,0,0,0,7,5,2,2,0,0,27,8,0,0,1,0
20150812,0,MIN,AL,113,11,42,18,2,0,3,11,0,1,0,2,0,8,0,0,0,10,2,1,1,0,0,27,12,0,0,0,0
20150813,0,MIN,AL,114,5,33,7,2,0,1,4,0,0,0,5,0,4,0,0,0,6,5,6,6,1,0,27,12,0,0,1,0
20150814,0,MIN,AL,115,1,27,1,0,0,1,1,0,0,0,1,0,7,0,0,1,0,5,6,6,1,0,27,10,0,0,1,0
20150815,0,MIN,AL,116,4,30,6,0,0,3,4,0,0,0,1,0,6,0,0,1,3,4,1,1,0,0,27,13,0,0,1,0
20150816,0,MIN,AL,117,4,32,9,1,1,1,4,0,0,0,3,0,7,1,0,0,7,5,1,1,0,0,27,11,1,0,0,0
